Individual_ID;ORBIT;SKULL;NECK;TRUNK_LENGTH;TAIL;HUMERUS;RADIUS;METACARPAL_4;WING_PHALANX_1;WING_PHALANX_2;WING_PHALANX_3;WING_PHALANX_4;FEMUR;TIBIA
1;11;40;21.5;47.5;106.5;16.5;26.7;10;37;31.8;28.9;32.4;12.5;15.5
2;10;35;18;;112;15.3;26;10;33;31.5;27;31;12.4;15.4
3;;;;36;85;;;;;;;;11.8;14
4;;36;;39;115;17;28;10;37.5;33;29.7;33.5;13.8;16.4
5;;;15.5;36.5;100;14.6;23.8;9.6;31.1;29;27;30.8;11.5;13.7
6;12;35;23;40;110;;;;;;;;;
7;10;35;20;41;106;15.5;24;9.5;32.3;28.6;26;28.5;11.7;15
8;;31;;;;14.5;24;8;;27.5;24.5;23;;
9;;;17;36;79;;;;;;;;10.5;13.1
10;12.5;41;23;47;125;19;32;12;44;40;35;39;15.7;19
11;12;41;;46;134;17;29.5;11.6;40.5;38;34;40;12.5;17
12;;33;22.5;36;96;16.8;27;9;35.5;30;27;28;;
13;;;23;32;80;14.5;25;9;31;26.7;26;28.5;14;15
14;;;;;82;14;23;11;29;26.5;23;30;12;14
15;;34;23;35;100;15.3;25.5;9.5;36;30.8;27;26.2;12.3;14.5
16;14;46.3;33;57.5;;;;;;;;;14.7;18.3
17;;39;23;43;122;18;28;11.2;39.5;36;34.2;38;13.5;18.5
18;;;23.5;38.5;110;15.5;25;9;32.5;28.5;25;27;10.5;14.5
19;;31;;;;16;26;10;36;29.5;27;31.5;;
20;;25;17;31;73;14.5;22.5;7.8;29.3;24;22;24.8;11;12.5
21;9;42;20;35;123.5;16.5;26;10;37.3;35;32;36;;
22;;;;;;13.5;21;8.5;30;25.3;23;26;11;13
23;;;;;;15.5;24.7;9.5;33.2;29.3;27.3;28;;
24;14;50.2;35;48;140;19.5;30;11.8;50;46;40;45.5;;
25;13.5;57;36;54;;24;36;14;48;42;36.5;37;18;20
26;15;54.3;34;57;163;21.8;37.5;13.7;53.8;49.4;43.5;47;17;22
27;;65;;69;;24.5;40;15;60;55;48.5;53;16.5;22.5
28;13.2;55.5;35;58;171;;34;14;50.5;41;35;38.3;17;21
29;13;50;26;55;148;19;33.5;10;49.5;42.5;37.5;42.5;16;18.5
30;;45;23;43;;17.5;27.5;6;;;;;;
31;;;;;;20;32.6;12.5;45.7;43.3;39;44.3;;
32;;;32.5;52.5;;;;;;;;;17.3;22
33;22;90.5;55;;250;31.5;56;17;95;75;74;80;;
34;;;;;260;33;56;19;91;86;77;80.5;28;36
35;19;94;;;;;;;;;;;;
36;24;97;;;;34;58;18;95;86.5;81;84.5;28;40
37;26.5;112.5;;;;38.5;67.3;21;114.1;108.6;97.7;92;35;49.5
38;21;112;;112.5;;42;66.1;21.7;109;107.3;101;;36;50.3
39;;;;94;320;;;23;113;112;101;;32;49
40;27.5;112;67;;;;;;;;;;;
41;22;104.5;;;;39.5;68.5;21;117.5;;;;;
42;;;;;362;45;73.5;24;123.5;119;112;111.5;;
43;20;103;71;107;320;38;66;21;114.5;114;106.5;101;33;48.5
44;23;;;;277;32;59.5;19;92.5;87.5;80;86.5;31;42
45;22.5;90;58;;264;32;;18;101;97;90;89;31;38.5
46;22.5;100;;;;36.5;;22;99;95;85;81;30;
47;;;;;;31;56.7;17.3;83;78.5;70;69.9;26.7;
48;;92;66;95;;34;56;19.5;92;91;;;28.5;37.3
49;26;110;76;103;;42;72.5;25;120;112;;;37;51.5
50;23;98.5;60;105;;35.5;64;22.3;100;94;85;79;30.8;43.5
51;24;102;70;;;37;60;21;102.5;100;;86.5;30;
52;32;160;;138;;59;99;34;178;;;;52;71.5
53;20;90;;;235;36;61.5;20;88.5;84;76;;;38.5
54;20;90;51;81;254;34.5;59;19.7;96;91;83;88;28.5;40.5
55;;95;;;;38;62;19;102;94;86.5;80;30;
56;23;101.5;;;;39;60;19;100;95;;;31;48
57;;;;;;40;62.5;21;105.4;99;89.5;90.5;;
58;21.5;105;45;105;300;;;21.5;101;103;95;;35;48
59;;99;68;100;;40;61;;105;103;95;87.5;29.5;48.5
60;;;;;312;;;25;;;100;98;35.5;52
61;21;106;58;;325;42;70;21;120;118;109.5;102.5;36;53.5
62;23;104;;;307;40.5;67;21;111;108;99;92;;51
63;25;103.5;;;380;41;71;22.5;110;109;99.5;99;35.7;50.5
64;;92;;;;34.5;57.5;19.5;96;92;81;81;;
65;;80;54;;265;31;55;19;88;81;72;68.5;;
66;22.5;;64;;;44;68;;117;105;;;36.5;53
67;21;95;61;87;262;35.5;58;16.7;93;87.5;78;75.5;;43
68;19;78.7;47.5;81.5;;29.5;53.7;19;;;;;25.5;34.5
69;24;95;;;;40;58;20;99;95;86;81.5;;
70;21.5;94;;;;35;60;20;96.5;94;86;;30.5;39
71;;;51;72;;30;50.5;17.3;80.5;70.5;62.5;62;25.3;
72;23;100;60;102;;;64;21;;;;;27;46
73;;;;;;35;;;;102.3;;;31;42
74;26;124.3;74;106;325;;;;;;;;;
75;25.7;123.3;66.5;101;;38.5;61;18;102.5;100;90.5;94.3;27.5;41
76;26.5;116;68;107;343;41;71;22;112;110;103;101.5;30;50.6
77;27;125;71;114;340;43;68;20;113;108.5;98.5;102;30;44
78;;91;64;76;245;;;;;;;;;38.5
79;;;;;254;36;61.5;21;99.5;99;92.5;94;26;38.5
80;17.5;87;58;66;;33;58.5;;93.5;87;;;;38.5
81;30.5;150;127;136;;64.5;96;35;149;;;;45.5;64
82;40;191.5;;;;79;;;202;169;140;136;;
83;;95;;;260;44;64;20;100;92.5;86;81;30;42
84;;78.5;;;228;34;54.5;16.5;83;79.5;69;69;;
85;10.5;28;27;36;93.5;;;;;;;;15;
86;;;;;;37;62;20;103;95;88;84;;
87;;100;;;;;;;;;;;;
88;;;;;;;;;;;;;;
89;;105;;;;;;;;;;;;
90;;;;;;35;58.5;25;100;;;;;
91;;;;;;;;;;;89;83.5;;
92;;;;;;37;59.5;19;99;92;85;83;31;43
93;;;;;;35;;;;;;;;
94;;;;;;;64;20;102;97;88;86;;
95;;87;;;;36.5;60.5;20;101.5;92.5;86.5;75;27.3;41
96;;;;;290;;;;;;;;;46
97;;;;;307;;;;;;;;;
